ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ENDERECO,BAIRRO,CEP,ES_TIPO,ES_DEPADM
336,-46704058,-23750529,355030830000161,3550308005284,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO ICARAI,RUA  MICHEL ANGELO PRUNETTI / MIGUEL ARQUERONS,JARDIM ICARAÍ,04844-260,12,1
337,-46703302,-23749383,355030830000659,3550308005284,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO INTERNACIONAL,RUA  JOSÉ FLAVIANO COSTA / ACÁCIO DE PAULA FERREIRA,JD.ICARAÍ,04844-240,12,1
338,-46704032,-23727868,355030823000246,3550308005286,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO JARDIM IPORANGA,RUA  ÁLVARES CORREIA / GREGÓRIO TORRES,JD. PRESIDENTE,04830-110,12,1
339,-46686233,-23730140,355030823000081,3550308005218,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO CLUBE BANDEIRANTE VETERANO,"AVENIDA  PAULO COSTA RIBEIRO BASTOS, 50",SÍTIO DAS PALMEIRAS,04814-720,12,1
340,-46682493,-23729848,355030823000113,3550308005218,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO REAL SOCIEDADE DOS MORADORES E DA JUVENTUDE,"RUA  DANIEL RIBEIRO CALADO, 1100",SÍTIO FIGUEIRAS DO RIO BONITO,04814-670,12,1
341,-46672301,-23754408,355030830000063,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO DO ARISTOCRATA,"RUA  BELMIRA  MARIN, 4400",GRAJAÚ,04846-000,12,1
342,-46777335,-23703039,355030843000009,3550308005291,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,CAMPO PARQUE BOULOGNE,"RUA           ANTIGO CONTINENTE, AO LADO Nº 65",PARQUE BOLOGNE,04947-080,12,1
343,-46784425,-23695629,355030843000044,3550308005293,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,CAMPO PARQUE NOVA SANTO AMARO,RUA  FRANCISCA QUEIROS / COELHO LOUSADA,PARQUE NOVA SANTO AMARO,05875-270,12,1
344,-46789752,-23683020,355030819000342,3550308005295,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO PARQUE INDEPENDÊNCIA,RUA  GARCIA DE HÓRTA / BERNARDO GOMES DE BRITO,PQ. INDEPENDÊNCIA,05880-290,12,1
345,-46791992,-23678792,355030819000289,3550308005295,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO CONJUNTO HABITACIONAL,RUA  TAJAL / IDADE MÉDIA,COHAB HAB JDIM S BENTO,05886-400,12,1
346,-46791084,-23669928,355030819000335,3550308005297,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO PARQUE FERNANDA - GAROTOS DO PARQUE F.C.,PRAÇA DOUTOR RAUL BORGES DA ROCHA / SEBASTIÃO MEIRA BARROS,PARQUE FERNANDA,05889-290,12,1
347,-46772765,-23672595,355030819000316,3550308005232,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO CAPÃO REDONDO,"RUA PROFESSOR ANTONIO AUSTREGÉSILO, 500 / SANTANA",CAPÃO REDONDO,05867-000,12,1
348,-46761508,-23662746,355030819000380,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO DO CAJU,RUA DOUTOR BENEDITO MATARAZZO / CRISTÓVÃO DE FIGUEIREDO,PARQUE MARIA HELENA,05854-090,12,1
349,-46755947,-23720997,355030843000303,3550308005288,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,CAMPO SOCIEDADE ESPORTIVA CIDADE IPAVA,RUA ENGENHEIRO MILTON DE ALVARENGA PEIXOTO / GIL DE SILOE,JARDIM RECREIO,04953-040,12,1
350,-46758260,-23681086,355030843000207,3550308005226,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,CAMPO CAVEIRINHOS F.C.,RUA  RIBEIRÃO PONTE BAIXA / SERVIDOR SÃO MARCOS,PARQUE SANTO AMARO,04932-160,12,1
351,-46748074,-23681701,355030846000123,3550308005221,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,CAMPO PARQUE FIGUEIRA GRANDE,RUA  PEDRO AGULHA DE FIGUEIRÓ / DOMINGOS FURTADO,JARDIM DULCE,04915-150,12,1
352,-46736163,-23683403,355030846000108,3550308005222,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,CAMPO C. F. DO TRICOLOR DO JARDIM ALFREDO,ESTRADA DE GUARAPIRANGA / LAURO RIBAS BRAGA,PARQUE EUROPA,04901-000,12,1
353,-46730089,-23658634,355030846000350,3550308005225,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,CAMPO DO SALDANHA,RUA  ACEDIO JOSÉ FONTANETE,JARDIM IBIRAPUERA,05814-100,12,1
354,-46780220,-23658287,355030819000070,3550308005230,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO JARDIM AURÉLIO,RUA  MARIA CLARA DA SILVA SANT' ANA / CAPITÚ,JARDIM AURÉLIO,05857-380,12,1
355,-46778830,-23648433,355030817000214,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO JARDIM ROSANA - COLORADO,RUA  FREDERICO CONSOLO / CARLOS LACERDA,JARDIM LUZITÂNIA,05789-050,12,1
356,-46761434,-23650587,355030817000319,3550308005237,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO JARDIM SÃO JANUÁRIO,RUA  LODÉVE / NOANANA,JARDIM SÃO JANUÁRIO,05781-220,12,1
357,-46769844,-23635364,355030817000018,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO JARDIM PARIS - GRÊMIO ESPORTIVO DA  AR/CL,"ESTRADA DO CAMPO LIMPO, 2480 / ANTONIO ANTUNES",VILA  PIRAJUSSARA,05787-000,12,1
358,-46791233,-23600569,355030865000066,3550308005239,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,CAMPO Nº 02 - JARDIM JOÃO XXIII,"RUA FREI CLAUDE D'ALBEVILLE, 425",JARDIM JOÃO XXIII,05569-010,12,1
359,-46765659,-23594899,355030865000108,3550308005238,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,CAMPO SAB - JARDIM GUARAÚ,RUA  JOÃO ANGOLA DO AMARAL / MARCOLINO VAZ FIGUEIRA,JARDIM GUARAÚ,05544-210,12,1
360,-46755393,-23656849,355030846000224,3550308005229,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,CAMPO DO ASTRO,"RUA  MANUEL BORDALO PINHEIRO, 278",JARDIM CAPELINHA,05850-230,12,1
361,-46745795,-23631276,355030817000169,3550308005233,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO DO MORRO DA LUA,RUA  AGÉLADAS / ALEXANDRE BENING,JARDIM INGÁ,05736-020,12,1
362,-46743342,-23628629,355030883000095,3550308005177,85,VILA ANDRADE,17,CAMPO LIMPO,Sul,Sul 2,CAMPO PRAÇA DE ESPORTES ZALTINE SILVA,RUA  NELSON GAMA DE OLIVEIRA / CHICO NUNES,JARDIM REBOUÇAS,05734-150,12,1
363,-46686612,-23717955,355030823000032,3550308005217,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO DEMOCRATA,RUA  JOSÉ BONIFÁCIO FILHO / BENEDITO VIEIRA DA SILVA,VILA SÃO BENEDITO,04813-060,12,1
364,-46691785,-23714400,355030823000026,3550308005217,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO SATÉLITE,"RUA  JOSÉ ANDRÉ PATTINI, 233 / JOÃO ROSCHEL GOTTZTRITZ",INTERLAGOS,04809-260,12,1
365,-46690527,-23710717,355030823000029,3550308005217,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO JARDIM REGIS,RUA  JOÃO GOTTZFRITZ FILHO / JÚLIO DE BARROS,JARDIM REGIS,04811-210,12,1
366,-46692625,-23704258,355030823000140,3550308005217,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO SANTOS FUTEBOL CLUBE CIDADE DUTRA,AVENIDA  JACINTO JÚLIO / CELSO LARA BARBIERI,JD. SATÉLITE,04815-160,12,1
367,-46688421,-23702813,355030823000178,3550308005217,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CAMPO JOVEM GUARDA,"RUA  PEDRO SANTALUCIA, DE FRONTE 130 / FELICIANO CORREIA",INTERLAGOS,04815-250,12,1
368,-46665974,-23681330,355030822000105,3550308005167,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,CAMPO DO NITERÓI,RUA  JURIMANÁS / SENADOR PAULO GUERRA,JARDIM MARIA LUÍSA,04434-060,12,1
369,-46673869,-23654472,355030822000234,3550308005169,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,CAMPO WINNER PAULISTA,RUA  FRANCISCO LOPES PINTOC / FRANCISCO TELES DOURADO,JARDIM LOS ANGELES,04649-110,12,1
370,-46764812,-23577784,355030867000205,3550308005182,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,CAMPO G. E. UNIÃO MOCIDADE,"AVENIDA  LUCAS DE LEYDE, 16",JARDIM SARAH,05376-010,12,1
371,-46759795,-23571278,355030867000009,3550308005183,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,CAMPO CORINTHIANS DO RIO PEQUENO,"AVENIDA  RIO PEQUENO, 1800",RIO PEQUENO,05379-000,12,1
372,-46749770,-23566014,355030867000046,3550308005184,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,CAMPO VARP - VETERANO AMIGOS DO RIO PEQUENO,RUA PROFESSOR ANTONIO FILGUEIRAS DE LIMA,PARQUE MALAGOLI,05361-040,12,1
373,-46748305,-23561173,355030867000042,3550308005184,68,RIO PEQUENO,10,BUTANTA,Oeste,Oeste,CAMPO G. D. PORTUGUESINHA,"ESTRADA DAS CACHOEIRAS/ESCOLA POLITÉCNICA, 255",JARDIM IVANA,05356-000,12,1
374,-46758190,-23535911,355030841000034,3550308005108,40,JAGUARE,8,LAPA,Oeste,Oeste,CAMPO PARQUE CONTINENTAL,"AVENIDA  ANTONIO DE SOUZA NOSCHESE, 1250",PARQUE CONTINENTAL,05328-000,12,1
375,-46761513,-23503137,355030840000020,3550308005109,39,JAGUARA,8,LAPA,Oeste,Oeste,CAMPO VILA PIAUÍ,RUA  BETIM PAIS LEME / BARRA DO GARÇA,VILA NILVA,05109-000,12,1
376,-46720887,-23502509,355030863000241,3550308005310,64,PIRITUBA,2,PIRITUBA,Norte,Norte 1,CAMPO ESPORTE CLUBE SÃO BENTO,"AVENIDA  RAIMUNDO PEREIRA DE MAGALHÃES, 1560",PIQUERI,05145-000,12,1
377,-46695701,-23475027,355030811000372,3550308005120,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,CAMPO FAZENDINHA,RUA  MATILDE MUNHOZ / MICHIHISA MURATA,JARDIM MARISTELA,02805-170,12,1
378,-46683311,-23480576,355030811000155,3550308005121,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,CAMPO CACHOERINHA - JARDIM MARACANÃ,"PRAÇA SENHOR            BONFIM / DOMINGOS GAVA, 116",JD.MARACANA,02841-030,12,1
379,-46728335,-23452656,355030842000283,3550308005187,41,JARAGUA,2,PIRITUBA,Norte,Norte 1,CAMPO S. A. PARQUE PANAMERICANO,"RUA  BARRA DA FORQUILHA, 684",PARQUE PANAMERICANO,02993-000,12,1
380,-46646784,-23698112,355030858000238,3550308005213,59,PEDREIRA,16,CIDADE ADEMAR,Sul,Sul 2,CAMPO JARDIM SANTA TEREZINHA,"RUA DOS ANIQUIS, 333",REFÚGIO SANTA TEREZINHA,04474-150,12,1
381,-46642642,-23648114,355030838000052,3550308005095,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,CAMPO CIDADE JÚLIA - REFÚGIO SANTA TEREZINHA,RUA DO GUAICURI / ALVARENGA,REFÚGIO STA.TEREZINHA,04425-000,12,1
382,-46554213,-23603267,355030893000115,3550308005082,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,CAMPO ESTRÊLA MARINHA,RUA  TRÊS PEDRAS / ANTENAS E CARUSO,SÍTIO DA FIGUEIRA,03209-010,12,1
383,-46551168,-23604898,355030872000076,3550308005159,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,CAMPO JARDIM FIGUEIRA - GALERA,RUA  TOKUCHIKA MIKI / TOMÁS MAGALHÃES,SÍTIO DA FIGUEIRA,03211-010,12,1
384,-46526479,-23604991,355030872000155,3550308005159,74,SAO LUCAS,29,VILA PRUDENTE,Leste,Leste 1,CAMPO MIAMI,RUA  JOSÉ FERREIRA PAZ / JOÃO MACHADO E SILVA,VILA MIAMI,03254-070,12,1
385,-46502411,-23606670,355030876000046,3550308005157,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,CAMPO LAR NACIONAL,"AVENIDA ARQUITETO  VILANOVA ARTIGAS, 1395",COHAB TEOTONIO VILELA,03928-240,12,1
386,-46480206,-23615582,355030873000154,3550308005206,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,CAMPO JARDIM SANTA ADÉLIA (1),RUA  MUNIZ GORDILHO / LIBERATO BARBOSA,JARDIM SANTA ADÉLIA,03971-000,12,1
387,-46469351,-23624688,355030875000007,3550308005212,77,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,CAMPO UNIDOS SÃO RAFAEL,"RUA DOUTOR ARISTIDES RICARDO, ENTRE 55º DP E EMEI MANOEL FIEL FILHO",PQ. S. RAFAEL,08311-270,12,1
388,-46461910,-23627412,355030875000011,3550308005212,77,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,CAMPO JARDIM RODOLFO PIRANI,RUA  JOSÉ DE ARAÚJO VIEIRA / DIOGO DE MORAIS LARA,JD. RODOLFO PIRANI,08310-240,12,1
389,-46454305,-23630330,355030875000210,3550308005277,77,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,CAMPO 1º DE MAIO,"AVENIDA  BANDEIRA DE ARACAMBI, 300M DA AV. SAPOPEMBA",COHAB SÃO FRANCISCO,08310-010,12,1
390,-46442725,-23631788,355030875000102,3550308005278,77,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,CAMPO CRUZEIRO,RUA  MIGUEL FERREIRA DE MELO / JORGE CARLOS DE ALMEIDA,JD. STO. ANDRÉ,08390-000,12,1
391,-46457787,-23624884,355030875000149,3550308005277,77,SAO RAFAEL,30,SAO MATEUS,Leste,Leste 2,CAMPO CONJUNTO PRÓ- MORAR RIO CLARO,RUA  CINIRA POLÔNIO / FRANCISCO NORONHA,CJ. PRÓ MORAR RIO CLARO,08395-320,12,1
392,-46462225,-23612091,355030873000143,3550308005208,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,CAMPO ESTÁDIO DO BARROCÃO,RUA  LIBRA / NEBULOSAS,SANTA BÁRBARA,08330-370,12,1
393,-46463622,-23603519,355030873000073,3550308005208,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,CAMPO GUARANÍ / CANARINHO,"RUA  FORTE DE ARAXÁ, 570",PARQUE SÃO LOURENÇO,08340-170,12,1
394,-46461893,-23597771,355030873000105,3550308005208,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,CAMPO JARDIM MARILU,"AVENIDA  RAGUEB CHOHFI, ENTRE VIAÇÃO IZAURA E ATRÁS DAS CASAS DA R. G",JARDIM COLONIAL,08375-000,12,1
395,-46458651,-23596878,355030833000046,3550308005274,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,CAMPO JARDIM SÃO GONÇALO,ESTRADA DA FAZENDA DO CARMO / EMBITIBA,JD. SÃO GONÇALO,08265-060,12,1
396,-46450563,-23597584,355030833000023,3550308005274,32,IGUATEMI,30,SAO MATEUS,Leste,Leste 2,CAMPO PARQUE BOA ESPERANÇA,RUA  JOÃO CARLOS FERREIRA / ALMEIDA FALCÃO,PQ. BOA ESPERANÇA,08370-070,12,1
397,-46399932,-23599731,355030825000217,3550308005272,25,CIDADE TIRADENTES,31,CIDADE TIRADENTES,Leste,Leste 2,CAMPO DETROIT F.C.,"AVENIDA DOS METALÚRGICOS, 2253",CIDADE TIRADENTES,08471-000,12,1
398,-46661349,-23481106,355030813000144,3550308005124,13,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,CAMPO SÍTIO DO MANDAQUI,AVENIDA JOÃO  DOS SANTOS ALVES / MENDONÇA Jr.,COHAB - CACHOERINHA - FRG.DO,,12,1
399,-46569040,-23591160,355030893000009,3550308005082,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,CAMPO BOTAFOGO DE VILA BELA,"RUA  SARUMÃ, 347 / JOAQUIM NORBERTO DE BRITO",VILA LÚCIA,03143-080,12,1
400,-46588382,-23541088,355030808000013,3550308005016,08,BELEM,25,MOOCA,Leste,Leste 1,CAMPO METRÔ BELÉM,RUA  TOLEDO BARBOSA / ÁLVARO RAMOS,BELENZINHO,03061-000,12,1
401,-46552044,-23532872,355030880000110,3550308005036,82,TATUAPE,25,MOOCA,Leste,Leste 1,CAMPO VILA MARANHÃO,RUA  INGU / TIQUIA,VILA LUÍSA,03630-040,12,1
402,-46548277,-23535334,355030820000103,3550308005077,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,CAMPO MÓQUEM,"AVENIDA  RADIAL LESTE / ARICANDUVA/RUA GENOVEVA, 129",CHÁCARA CALIFÓRNIA,01325-070,12,1
403,-46547864,-23534731,355030820000103,3550308005077,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,CAMPO GUAIAUNA,AVENIDA  RADIAL LESTE / ARICANDUVA,CHÁCARA CALIFÓRNIA,01325-070,12,1
404,-46569375,-23497457,355030892000086,3550308005068,94,VILA MEDEIROS,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,CAMPO JARDIM GUANÇÃ I,RUA  ALFREDO ABRANTES / SEBASTIAN BACH,JD.GUANÇÃ,02151-060,12,1
405,-46565676,-23496138,355030892000083,3550308005068,94,VILA MEDEIROS,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,CAMPO PARQUE NOVO MUNDO,RUA SOLDADO JOSÉ DE ANDRADE / CABO NORBERTO,PARQUE NOVO MUNDO,02147-070,12,1
406,-46569912,-23493579,355030892000088,3550308005068,94,VILA MEDEIROS,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,CAMPO JARDIM GUANÇÃ II,"PRAÇA SANTA LUIZA MARILLAC, 65",JD.GUANÇÃ,02150-000,12,1
407,-46565351,-23488415,355030892000082,3550308005068,94,VILA MEDEIROS,7,VILA MARIA-VILA GUILHERME,Norte,Norte 2,CAMPO C. F. DO CONJUNTO HABITACIONAL FERNÃO DIAS,"AVB DO POETA, 740 / JOÃO SIMÃO DE CASTRO",JARDIM JULIETA,02161-160,12,1
408,-46545446,-23516411,355030859000127,3550308005071,60,PENHA,21,PENHA,Leste,Leste 1,CAMPO DO JAÚ ATLÉTICO CLUBE DA PENHA,"RUA  AMORIM DINIZ, 42",JARDIM JAÚ,03730-040,12,1
409,-46536750,-23501432,355030818000192,3550308005072,18,CANGAIBA,21,PENHA,Leste,Leste 1,CAMPO JARDIM FLAVIO,RUA  RINALDO CARLOS RAPHAEL ANGELICOLA,CANGAÍBA,03717-030,12,1
410,-46535607,-23501297,355030818000190,3550308005072,18,CANGAIBA,21,PENHA,Leste,Leste 1,CAMPO JARDIM LORENZO,RUA  ADELINA LINHARES,CANGAÍBA,03717-040,12,1
411,-46531691,-23496991,355030818000041,3550308005072,18,CANGAIBA,21,PENHA,Leste,Leste 1,CAMPO CANGAIBA,RUA  AGUARIBAI / MARGINAL PROJETADA,JARDIM SÃO FRANCISCO,03718-070,12,1
412,-46648034,-23461212,355030813000063,3550308005125,13,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,CAMPO GUARANI FUTEBOL CLUBE,"RUA  HORTENCIA, 57 / OSCAR SHURING",JARDIM PERI,02632-090,12,1
413,-46515995,-23585723,355030804000098,3550308005153,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,CAMPO BEIRA RIO,RUA  LAURO XERFAN,JD.IVA,03921-020,12,1
414,-46499999,-23574375,355030824000077,3550308005152,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CAMPO JARDIM SANTA TEREZINHA,RUA NOSSA SENHORA NOVA CONQUISTA / CAMPO DA VINHA,JARDIM SANTA TEREZINHA,03572-110,12,1
415,-46525812,-23531302,355030891000059,3550308005075,93,VILA MATILDE,21,PENHA,Leste,Leste 1,CAMPO VILA ESPERANÇA,RUA  ALVINÓPOLIS / EVANS,VILA MATILDE,03644-070,12,1
416,-46508448,-23551112,355030824000121,3550308005150,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CAMPO XV DE NOVEMBRO,RUA  UXI / UACUMÃ,JARDIM SANTA MARIA,03576-090,12,1
417,-46497922,-23556587,355030824000063,3550308005150,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CAMPO JARDIM FERNANDES,RUA  DOMINGOS JOSÉ PELEGI / HENRIQUE PERDIGÃO,JARDIM FERNANDES,03581-190,12,1
418,-46504083,-23545865,355030891000071,3550308005147,93,VILA MATILDE,21,PENHA,Leste,Leste 1,CAMPO CANTO DA VILA,AVENIDA PROFESSOR EDGAR SANTOS / MARGARIDA MARIA ALVES,JARDIM MARINA,03560-080,12,1
419,-46477812,-23590270,355030873000035,3550308005208,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,CAMPO C. F. DO JARDIM NOVE DE JULHO,"AVENIDA  ARICANDUVA, PROXIMO DA USINA DE COMPOSTAGEM DE LIXO",JD. 9 DE JULHO,03951-220,12,1
420,-46478849,-23565370,355030824000072,3550308005203,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CAMPO JARDIM DAS CARMELITAS,RUA   JEAN MAYER Nº 157 C/ PIERRE GAETAN LEYMARIE,JARDIM DAS CARMELITAS,08275-600,12,1
421,-46490247,-23553564,355030824000039,3550308005150,24,CIDADE LIDER,27,ITAQUERA,Leste,Leste 2,CAMPO JARDIM BRASÍLIA CASCAVEL,AVENIDA  ITAQUERA / SERRA DAS DIVISÕES,CIDADE LÍDER,03450-000,12,1
422,-46487097,-23543211,355030805000056,3550308005148,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,CAMPO C. F. DA COHAB ARTUR ALVIM (CASCAVEL),"RUA  PEIXOTO WERNECK, 83 / TOMÁS DE VILA NOVA",PARQUE ARTUR ALVIM,03563-120,12,1
423,-46466736,-23559237,355030857000029,3550308005204,58,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,CAMPO DE FUTEBOL DA CIDADE LIDER,"RUA DOUTOR FRANCISCO MUNHOZ FILHO, 906",CIDADE LIDER,08280-000,12,1
424,-46527875,-23504769,355030818000038,3550308005072,18,CANGAIBA,21,PENHA,Leste,Leste 1,CAMPO DO PINXIGUINHA,RUA  LUCIANO NOGUEIRA / CARLOS DA SILVEIRA,JARDIM JANIÓPOLIS,03721-080,12,1
425,-46530366,-23497411,355030818000082,3550308005072,18,CANGAIBA,21,PENHA,Leste,Leste 1,CAMPO JARDIM SÃO FRANCISCO,RUA  PETIMBUABA / ARAMANDARA,JARDIM SÃO FRANCISCO,03718-040,12,1
426,-46489885,-23497190,355030828000062,3550308005140,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,CAMPO PÉROLA VERDE,RUA  FRANCISCO PIZARRO / MUNGO PARK,PQ. BOTURUSSÚ,03801-040,12,1
427,-46474991,-23523618,355030805000072,3550308005146,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,CAMPO JARDIM SÃO NICOLAU,RUA  SONHO GAÚCHO / ÁGUIA DE HAIA,JARDIM SÃO NICOLAU,03685-000,12,1
428,-46475256,-23523270,355030864000128,3550308005143,65,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,CAMPO DIAMANTES,RUA  SONHO GAUCHO / CÓRREGO DA PONTE RAZA,CJ. PEROLA,03685-000,12,1
429,-46475558,-23516978,355030837000261,3550308005199,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,CAMPO A. E. CARVALHO - XI CAPRICHOSO,AVENIDA  ÁGUIA DE HAIA / IMPERADOR,PARQUE PAINEIRAS,03694-000,12,1
430,-46478334,-23509885,355030864000127,3550308005141,65,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,CAMPO JARDIM COTINHA,RUA SÃO JOSÉ DO GOIABAL / LUIZ CALHEIROS,JD.COTINHA,03883-050,12,1
431,-46466657,-23495109,355030887000033,3550308005194,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,CAMPO PARQUE CRUZEIRO,RUA  CIANE / NEMÉSIO LAVILA,PARQUE CRUZEIRO DO SUL,08070-070,12,1
432,-46485214,-23493227,355030828000017,3550308005139,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,CAMPO C. F. DO JARDIM VERÔNICA (POVÃO COLORADO),RUA  BENEVENUTO  DE MAGALHÃES TAQUES,JD. VERÔNICA,03814-120,12,1
433,-46472785,-23487919,355030828000178,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,CAMPO DANÚBIO,RUA  FIGUEIRA DA POLINÉSIA / TARTARUGA,JD. BELÉM,03813-000,12,1
434,-46466048,-23486847,355030887000151,3550308005194,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,CAMPO ERMELINENSE,AVENIDA DOUTOR ASSIS RIBEIRO / RODEIRO,VILA JACUÍ,03717-000,12,1
