ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ENDERECO,BAIRRO,CEP,ES_TIPO,ES_DEPADM
435,-46460559,-23563926,355030857000025,3550308005205,58,PARQUE DO CARMO,27,ITAQUERA,Leste,Leste 2,CAMPO FAZENDA NOSSA SENHORA DO CARMO,AVENIDA  FRANCISCO TRANCHESI / JOAQUIM F. OLIVEIRA,FAZENDA NOSSA SENHORA DO CARMO,08270-460,12,1
436,-46441819,-23583193,355030857000038,3550308005205,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,CAMPO XI GAROTOS,AVENIDA  JACÚ PÊSSEGO,PARQUE GUARANI,08260-005,12,1
437,-46463261,-23539459,355030837000050,3550308005198,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,CAMPO ITAQUERA,ESTRADA  DE FERRO CPTM / ESTAÇÃO METRÔ ITAQUERA,CIDADE A . E. CARVALHO,08220-160,12,1
438,-46440865,-23543747,355030847000073,3550308005263,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,CAMPO AAL CAR,RUA  ISIDORO DE LARA / ANSELMO RODRIGUES,CONJ. RES.JOSÉ BONIFÁCIO,08253-250,12,1
439,-46429849,-23554354,355030847000055,3550308005262,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,CAMPO COHAB - ITAQUERA IV,RUA  AMOR DE ÍNDIO,CONJ.RES.JOSÉ BONIFÁCIO,08257-020,12,1
440,-46430017,-23552604,355030847000029,3550308005262,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,CAMPO VILA COSMOPOLITA / BOTAFOGO,"RUA JARDIM TAMOIO, 1738 / LUIS MATEUS",COHAB JOSÉ BONIF.IT.II E III,08255-010,12,1
441,-46431408,-23541275,355030847000047,3550308005261,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,CAMPO JARDIM HELENA (GUAIANAZES),"RUA  SERAFIM DOS ANJOS, 307 / CAETANO DUARTE",JARDIM HELENA,08420-350,12,1
442,-46427308,-23536188,355030847000108,3550308005261,46,JOSE BONIFACIO,27,ITAQUERA,Leste,Leste 2,CAMPO JARDIM ETELVINA,"ESTRADA DE ITAQUERA / GUAIANASES, 2035",ITAQUERA COHAB STA. ETELVINA,08250-010,12,1
443,-46427335,-23533227,355030896000121,3550308005258,47,LAJEADO,28,GUAIANAZES,Leste,Leste 2,CAMPO JARDIM MORENO,RUA  MARGARIDA CRISTINA BAUMANN / FAUSTINO DIAS,JARDIM SÃO PAULO,08245-490,12,1
444,-46408402,-23560117,355030831000050,3550308005266,31,GUAIANASES,28,GUAIANAZES,Leste,Leste 2,CAMPO JARDIM SÃO PAULO,RUA  MIGUEL ACHIOLE DA FONSECA / FERNÃO CARVALHO,JD. SÃO PAULO,08480-110,12,1
445,-46461978,-23517875,355030837000241,3550308005199,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,CAMPO PARQUE GUARANI,RUA RAINHA    DA   NOITE / TREVO DE STA. MARIA,PQ. GUARANI,08235-000,12,1
446,-46455947,-23522817,355030837000032,3550308005200,36,ITAQUERA,27,ITAQUERA,Leste,Leste 2,CAMPO VILA TAQUARI,AVENIDA  JACÚ PÊSSEGO / FRANCISCO SALES MALTA JÚNIOR,VILA TAQUARI,08260-005,12,1
447,-46456949,-23499261,355030887000003,3550308005193,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,CAMPO JUVENTUS DE VILA JACUÍ,AVENIDA  GURIS / JACU PÊSSEGO,VILA JACUÍ,08060-400,12,1
448,-46446180,-23509043,355030887000107,3550308005193,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,CAMPO ONZE PAULISTA,RUA  CATOLÉ,JARDIM PLANALTO,08040-470,12,1
449,-46453999,-23492467,355030887000038,3550308005194,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,CAMPO TRICOLOR DO PARQUE GUARANI,AVENIDA  NOVA TRABALHADORES / BARÃO DE CANCELA,PARQUE GUARANI,08260-005,12,1
450,-46447976,-23487795,355030874000134,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,CAMPO JARDIM LAPENNA,RUA  SERRA DA JURUOCA,JARDIM LAPENA,08071-180,12,1
451,-46436010,-23484724,355030874000123,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,CAMPO TROTIL,AVENIDA DOUTOR JOSÉ ARTUR  NOVA / RIO TIETÊ,PARQUE PAULISTANO,08090-000,12,1
452,-46429328,-23515551,355030884000213,3550308005253,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,CAMPO TRICOLOR PAULISTA,RUA  MANDRÁGORAS / RIO ITAQUERA,JARDIM SANTO ANTONIO,08032-200,12,1
453,-46421365,-23523682,355030896000161,3550308005257,47,LAJEADO,28,GUAIANAZES,Leste,Leste 2,CAMPO JARDIM CENTENÁRIO,RUA  VICENZO RUFFO / CARLOS MANELLI,JD. CENTENÁRIO,08430-320,12,1
454,-46422408,-23520562,355030884000132,3550308005253,47,LAJEADO,28,GUAIANAZES,Leste,Leste 2,CAMPO CRUZEIRO,RUA  TAPERÁ / COTINGA,PARQUE INDUSTRIAL,08032-450,12,1
455,-46418400,-23513826,355030884000005,3550308005252,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,CAMPO BOSTON,RUA  OSÓRIO FRANCO VILHENA / CÓRREGO ÁGUA VERMELHA,VILA CURUÇA,08030-590,12,1
456,-46419088,-23511272,355030884000005,3550308005252,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,CAMPO PEDRO MEIRA,RUA  LÍRIO BRANCO / PIMENTEIRA,VILA CURUÇA,08030-650,12,1
457,-46419135,-23506282,355030884000009,3550308005253,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,CAMPO MARAJÁ,RUA  RAIZ FORTE / BOTÃO PRATA,VILA CURUÇA,08030-760,12,1
458,-46417645,-23502418,355030884000010,3550308005248,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,CAMPO 1º DE MAIO I,RUA  OSÓRIO FRANCO VILHENA,VILA CURUÇA,08030-590,12,1
459,-46410041,-23526508,355030896000044,3550308005259,47,LAJEADO,28,GUAIANAZES,Leste,Leste 2,CAMPO COIMBRA,RUA  SERRA DA QUEIMADA / JOSÉ GRAVONSKY,JARDIM ROBRÚ,08431-640,12,1
460,-46400482,-23516020,355030836000253,3550308005256,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,CAMPO AMOJAMA,RUA  TEOFILÂNDIA / SANTA BARBARA DO SUL,ITAIM PAULISTA,08141-135,12,1
461,-46420616,-23492013,355030844000181,3550308005246,43,JARDIM HELENA,23,SAO MIGUEL,Leste,Leste 2,CAMPO SAVIMAR,RUA SÃO   GONÇALO DO RIO DAS PEDRAS / LINHA DE TREM CPTM,CONJ.HAB.VILA MARA,08081-000,12,1
462,-46419038,-23478367,355030844000195,3550308005244,43,JARDIM HELENA,23,SAO MIGUEL,Leste,Leste 2,CAMPO JARDIM HELENA,AVENIDA  KUMAKI AOKI / CRAVEIRO DE CAMPO,JARDIM HELENA,08090-370,12,1
463,-46392960,-23503799,355030836000272,3550308005249,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,CAMPO TOSSAN,RODOVIA PROFESSOR ZEFERINO FERRAZ / JANDIÁ,JARDIM CAMARGO,08120-380,12,1
464,-46716419,-23768482,355030855000015,3550308005299,56,PARELHEIROS,20,PARELHEIROS,Sul,Sul 2,MINI CAMPO CENTRO DE TREINAMENTO PINHEIRÃO OU C.C.JD. Mª BORBA,"AVENIDA SENADOR TEOTÔNIO VILELA, KM 29 EM FRENTE AO Nº 8113",PARQUE MARIA FERNANDES,04864-001,13,1
465,-46697848,-23746968,355030830000211,3550308005284,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,MINI CAMPO ESPORTE CLUBE CORINTIANS DO JARDIM DOS MANACÁS,RUA  XAVIER DE MAGALHÃES / BARTOLOMEU ORDENÁZ,JARDIM DOS MANACÁS,04844-120,13,1
466,-46683205,-23754136,355030830000014,3550308005280,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,MINI CAMPO GREMIO RECREATIVO BRIGADEIRO FARIA LIMA,"RUA SÃO JOSE DO RIO PRETO, 98",CONJ.HAB.BRIG.FARIA LIMA,04840-460,13,1
467,-46773999,-23660026,355030819000006,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,MINI CAMPO BEM BOLADO - COHAB  ADVENTISTA,"RUA  ARROIO BUTIÁ, ALT. DO Nº 250 / ARROIO TIBIAIA",JARDIM ITAOCA-COHAB ADVENTISTA,05858-030,13,1
468,-46758465,-23661293,355030819000123,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,MINI CAMPO DE FUTEBOL JARDIM CAMPO DE FORA,"RUA  DOMENICO FONTANA, AO LADO DO  Nº 29",JARDIM CAMPO DE FORA,05854-080,13,1
469,-46769948,-23642698,355030817000036,3550308005237,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,MINI CAMPO S.A .J.U,"RUA  FRANKLIM TÁVORA, 433 / JACOB MEDEIROS DE MIRANDA",JARDIM UMUARAMA,05794-270,13,1
470,-46683699,-23684538,355030816000037,3550308005171,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,"MINI CAMPO SOCIEDADE AMIGOS DA VILA SABARA, MANACÁ",RUA  JAIME RODRIGUES / JUARI,VILA SABARÁ,04446-230,13,1
471,-46668931,-23673778,355030822000065,3550308005167,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,MINI CAMPO JARDIM MARTINI,RUA  ALÉSSIO DE PAOLIS / LAURO PARENTE,JARDIM MARTINI,04438-200,13,1
472,-46637250,-23685583,355030822000251,3550308005165,22,CIDADE ADEMAR,16,CIDADE ADEMAR,Sul,Sul 2,MINI CAMPO CENTRO COMUNITÁRIO JARDIM MIRIAM,"RUA  ÂNGELO CRISTIANINI, 500 / VICTÓRIO DE PAIVA",JARDIM MIRIAM,04424-000,13,1
473,-46499491,-23610263,355030876000330,3550308005209,78,SAPOPEMBA,29,VILA PRUDENTE,Leste,Leste 1,MINI CAMPO DE FUTEBOL - CONFIANÇA,RUA  FRANCESCO USPER,CONJ.HAB.TEOTONIO VILELA,03927-340,13,1
474,-46523307,-23530651,355030859000030,3550308005144,60,PENHA,21,PENHA,Leste,Leste 1,MINI CAMPO VILA ESPERANÇA,"RUA  CECILIA, 100 / LINHA DE TREM CPTM",VILA ESPERANÇA,03651-040,13,1
475,-46511082,-23526832,355030859000043,3550308005144,60,PENHA,21,PENHA,Leste,Leste 1,MINI CAMPO PRAÇA ANTONIO ALBERTO C/ R. EUNICE,PRAÇA  ANTONIO ALBERTO / EUNICE,VILA GRANADA,03656-100,13,1
476,-46387981,-23504408,355030836000019,3550308005251,35,ITAIM PAULISTA,24,ITAIM PAULISTA,Leste,Leste 2,MINI CAMPO CONJUNTO ANA ROSA,RUA  JECA TATU / FRANCISCO VELASQUES,JARDIM CAMARGO,08120-530,13,1
477,-46707941,-23732412,355030823000129,3550308005286,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,QUADRA SOCIEDADE AMIGOS DO JARDIM DAS IMBUIAS E ADJACÊNCIAS,"RUA PROFESSOR ENEAS DE SIQUEIRA NETO, 997",JARDIM DAS IMBUIAS,04829-300,14,1
478,-46790766,-23672643,355030819000136,3550308005297,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,QUADRA SOCIEDADE AMIGOS PARQUE FERNANDA,"AVENIDA  SALVADOR ROCCO, 1128",PARQUE FERNANDA,05888-050,14,1
479,-46760991,-23684541,355030843000181,3550308005227,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,QUADRA DE FUTEBOL DE SALÃO PRAÇA DAS NOTAS MUSICAIS,"PRAÇA DAS NOTAS MUSICAIS, S/N",VILA BOM JARDIM,04937-130,14,1
480,-46761883,-23646730,355030817000069,3550308005237,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,QUADRA SOCIEDADE AMIGOS DO JARDIM PIRACUAMA,"RUA  ÁUREA DA GAMA, 903 / JOÃO RODRIGUES SOUZA",JARDIM PIRACUAMA,05763-290,14,1
481,-46775039,-23633620,355030817000050,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,QUADRA DE FUTEBOL DE SALÃO DE VILA PIRAJUSSARA,RUA DOUTOR JOVIANO PACHECO DE AGUIRRE,CAMPO LIMPO,05788-290,14,1
482,-46745756,-23656856,355030846000190,3550308005229,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,QUADRA PRÓ MORAR SÃO LUIZ,RUA FREI LUIZ BELTRÃO,COHAB PRÓ MORAR SÃO LUIZ,05846-170,14,1
483,-46736446,-23644882,355030846000296,3550308005228,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,QUADRA DE ESPORTE MONTE AZUL,AVENIDA  TOMAZ DE SOUZA / JOÃO BATISTA JORDÃO,JARDIM MONTE AZUL,05836-350,14,1
484,-46730931,-23650772,355030846000338,3550308005225,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,QUADRA DE ESPORTES JARDIM NAGIB SALEM E CENTRO EMPRESARIAL,RUA  GUIMARÃES TAVARES / JOSÉ DA MATA CARDIM,JARDIM NAGIB SALEM,05805-030,14,1
485,-46731466,-23644041,355030846000080,3550308005228,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,QUADRA DE FUTEBOL DE SALÃO JARDIM MIRANTE,"AVENIDA  JOÃO DIAS, 3320 / LUIZ GRASSMANN",JARDIM MIRANTE,05801-000,14,1
486,-46761892,-23489521,355030895000106,3550308005111,73,SAO DOMINGOS,2,PIRITUBA,Norte,Norte 1,QUADRA CLUBE ESPORTIVO JARDIM JARAGUÁ - PARQUE LANDIN,"RUA  BOAVENTURA PEREIRA, 121 / BRANCA DE LIMA",PARQUE ANHANGUERA,05158-240,14,1
487,-46696994,-23534770,355030860000132,3550308005057,61,PERDIZES,8,LAPA,Oeste,Oeste,QUADRA ANDRÉ LAGRECA,"RUA  JAMIL SAFADY, 51",BAIRRO SICILIANO,05046-020,14,1
488,-46672199,-23475653,355030829000155,3550308005118,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,QUADRA ASSOCIAÇÃO DOS MORADORES E AMIGOS DA VILA HEBE,RUA  LUIGI SABBATINI / INAJAR DE SOUZA,VILA HEBE,02765-150,14,1
489,-46698453,-23454902,355030811000167,3550308005122,11,BRASILANDIA,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,QUADRA ESPORTIVA CARUMBÉ,"RUA  LAURINDO DOS SANTOS, 250 / MANOEL BOLIVAR",JARDIM CARUMBÉ,02855-060,14,1
490,-46645131,-23593776,355030890000176,3550308005046,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,QUADRA CLUBE ADAMOS DE VOLEIBOL,"RUA  ESTADO DE ISRAEL, 638",VILA MARIANA,04022-001,14,1
491,-46461893,-23597771,355030873000105,3550308005208,75,SAO MATEUS,30,SAO MATEUS,Leste,Leste 2,QUADRA N. E. DO JARDIM AUGUSTO,AVENIDA  RAGUEB CHOHFI,JARDIM COLONIAL,08375-000,14,1
492,-46632126,-23523678,355030809000018,3550308005004,09,BOM RETIRO,9,SE,Centro,Centro,QUADRA DO BOCA,"AVENIDA DO ESTADO, 846",BOM RETIRO,11080-000,14,1
493,-46565908,-23572564,355030801000019,3550308005041,01,AGUA RASA,25,MOOCA,Leste,Leste 1,QUADRA NUCLEO ESPORTIVO VILA DIVA,"RUA  LAVINIA RIBEIRO, 34",VILA DIVA,03351-110,14,1
494,-46483097,-23548012,355030805000093,3550308005148,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,QUADRA ESPORTIVA COHAB I,"RUA  TOMAZ DE VILANOVA, 77",CONJ.HAB.PE MANOEL DA NÓBREGA,03590-100,14,1
495,-46478651,-23536046,355030805000002,3550308005146,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,QUADRA ESPORTIVA PARQUE DAS PAINEIRAS,RUA  JOSÉ GIORDANO / MUSEU REAL,PARQUE DAS PAINEIRAS,03694-010,14,1
496,-46507934,-23520574,355030859000067,3550308005145,60,PENHA,21,PENHA,Leste,Leste 1,QUADRA ESPORTIVA VILA GERMAINE,PRAÇA  OCAPEGUÁ / GAPÉ,VILA GERMAINE,03660-080,14,1
497,-46484178,-23514308,355030864000048,3550308005141,65,PONTE RASA,22,ERMELINO MATARAZZO,Leste,Leste 2,QUADRA DO AMAZONENSE,RUA DONA IDA / NÉLIA,VILA RIBEIRO DOS SANTOS,03893-040,14,1
498,-46478166,-23498389,355030828000009,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,QUADRA ESPORTIVA VILA PARANAGUÁ,"RUA PROFESSOR ANTONIO DE CASTRO LOPES, 954",VILA PARANAGUÁ,03805-080,14,1
499,-46480050,-23492599,355030828000008,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,QUADRA ESPORTIVA BOTURUSSÚ,"AVENIDA PROFESSOR ANTONIO DE CASTRO LOPES / BOTURUSSÚ, 1359",PARQUE BOTURUSSÚ,03802-010,14,1
500,-46453999,-23492467,355030887000038,3550308005194,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,QUADRA ESPORTIVA JARDIM SANTANA,AVENIDA  JACÚ PÊSSEGO / ELVIRA BONIFÁCIA  DO MONTE,PARQUE GUARANI,08260-005,14,1
501,-46453999,-23492467,355030887000038,3550308005194,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,QUADRA ESPORTIVA PARQUE SEVILHA,AVENIDA  JACÚ PÊSSEGO / IMPERADOR (SOB O VIADUTO IMPERADOR),VILA JACUÍ,08260-005,14,1
502,-46440038,-23494041,355030874000093,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,QUADRA ESPORTIVA VILA AMERICANA,RUA  AMÉRICO GOMES DA COSTA / ANTONIO DA GAMA CERQUEIRA,VILA AMERICANA,08010-120,14,1
503,-46429950,-23517049,355030874000047,3550308005197,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,QUADRA ESPORTIVA VILA PROGRESSO,RUA  GOIVINHO DA PRAIA / ARDISIA,JDIM SANTO ANTONIO,08245-220,14,1
504,-46421719,-23500973,355030884000061,3550308005253,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,QUADRA ESPORTIVA VILA CURUÇÁ,PRAÇA  JAGUAMITANGA / GUAXIMA,VILA CURUÇÁ,08030-330,14,1
505,-46410262,-23522487,355030884000084,3550308005252,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,QUADRA ESPORTIVA JARDIM ROBRÚ,AVENIDA  JOÃO BATISTA SANTIAGO / JOSÉ MARIA ALVES DE DEUS,JARDIM ROBRÚ,08150-030,14,1
506,-46776695,-23648743,355030817000217,3550308005237,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,BOCHA CANCHA DE BOCHA DA COHAB II,RUA PROFESSOR LEÔNCIO GURGEL,JARDIM SÃO PEDRO,08420-640,15,1
507,-46736929,-23597912,355030894000116,3550308005179,96,VILA SONIA,10,BUTANTA,Oeste,Oeste,MALHA CLUBE DE MALHA NOVE DE JULHO,"AVENIDA PROFESSOR GIÓIA MARTINS, 305",JARDIM MONTE KEMEL,05632-020,15,1
508,-46685902,-23682892,355030816000019,3550308005171,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,MALHA SOCIEDADE AMIGOS VILA ARRIETE,"RUA  ELYDIO RODRIGUES NUNES, 611",VILA ARIETE,04445-060,15,1
509,-46693319,-23531224,355030848000070,3550308005059,48,LAPA,8,LAPA,Oeste,Oeste,MALHA CLUBE DE MALHA SUMARÉ,"RUA  BARBARA HELIODORA, 129 / SILVEIRA RODRIGUES",BAIRRO SICILIANO,05044-040,15,1
510,-46699520,-23485993,355030829000012,3550308005116,29,FREGUESIA DO O,3,FREGUESIA-BRASILANDIA,Norte,Norte 1,MALHA CM DA CHACARA NOSSA SENHORA APARECIDA,"RUA DOUTOR ARTUR FAJARDO, 509",CHAC.NOSSA SENHORA APARECIDA,02963-000,15,1
511,-46663610,-23476219,355030813000142,3550308005124,13,CACHOEIRINHA,4,CASA VERDE-CACHOEIRINHA,Norte,Norte 1,MALHA CM DO JARDIM PERI,"AVENIDA  MARIANA CALIGIORI RONCHETTI, 148",JARDIM PERI,02650-000,15,1
512,-46633538,-23607529,355030877000044,3550308005047,79,SAUDE,12,VILA MARIANA,Sul,Sul 1,MALHA CLUBE DE MALHA CORREIA DE LEMOS,RUA  RONDINHA / VIELA UM  Nº 60,CHÁCARA INGLESA,04140-010,15,1
513,-46619465,-23573271,355030814000004,3550308005006,14,CAMBUCI,9,SE,Centro,Centro,MALHA CLUBE DE MALHA E BOCHA TRIÂNGULO(VILA DEODORO),"RUA DOM DUARTE LEOPOLDO, 1039",CAMBUCI,01542-000,15,1
514,-46609195,-23580821,355030834000009,3550308005019,33,IPIRANGA,13,IPIRANGA,Sul,Sul 1,BOCHA CENTRO DESPORTIVO INDEPENDÊNCIA,"PRAÇA  DO MONUMENTO , 01",PARQUE DA INDEPENDÊNCIA,04261-050,15,1
515,-46585553,-23592944,355030893000158,3550308005042,95,VILA PRUDENTE,29,VILA PRUDENTE,Leste,Leste 1,BOCHA CAMPO DE BOCHA DA VILA CARIOCA,"RUA  VEMAG, 1343",VILA CARIOCA,04217-050,15,1
516,-46587751,-23556333,355030853000061,3550308005017,54,MOOCA,25,MOOCA,Leste,Leste 1,BOCHA ASSOC. BOCHÓFILA DOS APOSENTADOS DA MOÓCA-ABAM,"RUA  BENJAMIN REIS, 105",VILA CLÁUDIA,03178-060,15,1
517,-46533783,-23543483,355030820000028,3550308005078,20,CARRAO,26,ARICANDUVA,Leste,Leste 1,MALHA CANCHA DE MALHA UNIDOS DE VILA MANCHESTER,RUA  ZAMBEZE / BERIBE,VILA NOVA MANCHESTER,03441-000,15,1
518,-46532580,-23530795,355030859000058,3550308005074,60,PENHA,21,PENHA,Leste,Leste 1,BOCHA CANCHA DE BOCHA E MALHA BEIRA RIO,RUA  DEMINI / CÓRREGO RINCÃO,VILA CARLOS DE CAMPOS,03641-040,15,1
519,-46511986,-23519091,355030859000027,3550308005145,60,PENHA,21,PENHA,Leste,Leste 1,BOCHA JARDIM PAULA,RUA  DOMINGOS DE CARLO / AMÉRICO FONTANELE,VILA MARIA AMÁLIA,03659-000,15,1
520,-46480050,-23492599,355030828000008,3550308005192,28,ERMELINO MATARAZZO,22,ERMELINO MATARAZZO,Leste,Leste 2,BOCHA CANCHA DE BOCHA BOTURUSSÚ,RUA  BOTURUSSÚ / ANTONIO CASTRO LOPES,PARQUE BOTURUSSÚ,03802-010,15,1
521,-46444562,-23499020,355030874000092,3550308005196,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,MALHA CLUBE DE MALHA E BOCHA APOSENTADOS DE SÃO MIGUEL,"RUA  TORIXORÉU, 200",PARQUE SONIA,08020-010,15,1
522,-46427539,-23513934,355030884000090,3550308005253,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,BOCHA CANCHA DE BOCHA TRÊS COQUEIROS C/ R. ÁRVORE DA CERA,RUA  JEQUIRANA DE GOIÁS,JARDIM SANTO ANTONIO,08032-230,15,1
523,-46430440,-23504664,355030874000016,3550308005197,76,SAO MIGUEL,23,SAO MIGUEL,Leste,Leste 2,GATEBAL CANCHA DE GATEBALL JARDIM SÃO VICENTE,RUA  IDA VANUSSI PUNTEL / PRAIA DO VALENTE,CIDADE NOVA SÃO MIGUEL,08042-280,16,1
524,-46708997,-23729076,355030823000091,3550308005287,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,SOCIETY JARDIM DAS IMBUIAS,"RUA  JOSÉ LUIS MONTEIRO, 520",JARDIM DAS CAMÉLIAS,04829-240,17,1
525,-46681387,-23745329,355030830000105,3550308005283,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,SOCIETY CAMPO SOCIETY ASSOCIAÇÃO MORADORES PARQUE GRAJAÚ,RUA  DOMINGOS RINALDELLI,PARQUE GRAJAÚ,04842-100,17,1
526,-46786140,-23692203,355030843000294,3550308005293,42,JARDIM ANGELA,18,M'BOI MIRIM,Sul,Sul 2,SOCIETY CAMPO SOCIETY SOCIEDADE AMIGOS DO JARDIM GUARUJÁ,"AVENIDA  GUARUJÁ, 311 / PRAÇA REGINALDO ALVES DO AMARAL",JARDIM GUARUJÁ,05877-230,17,1
527,-46776695,-23648743,355030817000217,3550308005237,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,SOCIETY CAMPO SOCIETY DOS ANIQUIS,"RUA DOS ANIQUIS,  333",REFÚGIO SANTA TEREZINHA,04474-000,17,1
528,-46790156,-23599456,355030865000067,3550308005239,66,RAPOSO TAVARES,10,BUTANTA,Oeste,Oeste,SOCIETY ESPORTE CLUBE GOTEIRAS ( Antigo CAMPO Nº 01),RUA PADRE JORGE BENCI,JARDIM JOÃO XXIII,05569-020,17,1
529,-46622578,-23599672,355030827000129,3550308005045,27,CURSINO,13,IPIRANGA,Sul,Sul 1,SOCIETY BOLSA D'ÁGUA,"RUA SANTA CRUZ, 1350",VILA MARIANA,04122-000,17,1
530,-46613259,-23522446,355030856000009,3550308005015,57,PARI,25,MOOCA,Leste,Leste 1,SOCIETY ASSOCIAÇÃO DOS SERVIDORES DA AR/SE N.C.,"RUA DOUTOR MIGUEL PAULO CAPOLBO, 307",CANINDÉ,03035-040,17,1
531,-46524417,-23574049,355030804000039,3550308005153,04,ARICANDUVA,26,ARICANDUVA,Leste,Leste 1,SOCIETY QUADRA DE FUTEBOL SOCIETY VILA SARA,"RUA  ESCRAGNOLLE DÓRIA, 861 / CORREIA DE LACEDA",ARICANDUVA,03470-000,17,1
532,-46455820,-23501299,355030887000013,3550308005193,89,VILA JACUI,23,SAO MIGUEL,Leste,Leste 2,SOCIETY CAMPO DE FUTEBOL SOCIETY VILA JACUÍ,RUA  AMÉRICO SUGAI / TAIUVINHA,VILA JACUÍ,08060-380,17,1
533,-46408726,-23512081,355030884000016,3550308005248,86,VILA CURUCA,24,ITAIM PAULISTA,Leste,Leste 2,SOCIETY CAMPO DE SOCIETY SETE ESTRELAS,RUA  SETE ESTRELAS / CRESCENTE,JARDIM BARTIRA,08152-040,17,1
